ID,Fruta,Cantidad,Precio,Fecha
1,Melón,22,8.09,2026-04-25
2,Banano,32,6.62,2024-06-12
3,Banano,51,7.37,2024-10-12
4,Pera,31,5.16,2025-06-04
5,Frutilla,9,8.55,2025-11-24
6,Piña,55,8.77,2025-03-31
7,Mango,26,11.33,2025-01-12
8,Frutilla,64,7.47,2026-03-22
9,Piña,74,14.28,2025-06-28
10,Melón,9,1.02,2024-06-13
11,Naranja,1,11.73,2026-01-02
12,Naranja,30,12.38,2025-05-07
13,Pera,68,7.46,2025-01-04
14,Piña,64,6.91,2024-09-13
15,Mango,35,4.19,2025-03-22
16,Manzana,74,5.5,2025-04-25
17,Manzana,13,4.47,2025-11-10
18,Banano,2,5.09,2025-07-15
19,Melón,85,7.3,2024-06-27
20,Mango,72,2.63,2026-04-05
21,Naranja,94,2.82,2025-11-03
22,Piña,55,3.41,2025-10-03
23,Uva,39,7.43,2024-10-12
24,Manzana,71,7.6,2025-11-12
25,Uva,87,3.45,2025-08-27
26,Frutilla,53,8.9,2024-06-24
27,Naranja,97,12.04,2026-02-03
28,Piña,1,4.75,2025-10-02
29,Frutilla,13,7.41,2025-09-17
30,Uva,25,12.99,2025-05-01
31,Uva,46,11.01,2025-10-11
32,Banano,24,14.39,2024-06-17
33,Mango,49,8.7,2025-01-03
34,Pera,92,14.93,2025-03-13
35,Pera,18,1.33,2024-07-01
36,Uvilla,35,8.09,2025-11-18
37,Banano,44,14.52,2026-02-25
38,Mango,22,8.9,2026-01-12
39,Uva,72,13.56,2025-12-19
40,Uvilla,69,1.22,2026-03-04
41,Uva,17,5.01,2024-09-16
42,Mango,45,14.63,2024-07-24
43,Manzana,95,7.37,2024-11-02
44,Melón,66,5.7,2024-06-04
45,Manzana,20,3.77,2024-11-22
46,Uvilla,80,13.95,2024-12-28
47,Uva,81,12.23,2025-08-12
48,Piña,57,11.88,2024-08-06
49,Piña,89,0.96,2024-10-22
50,Mango,72,3.66,2026-01-09
51,Uvilla,98,0.53,2024-11-23
52,Piña,4,4.19,2025-11-18
53,Uvilla,35,14.89,2025-12-16
54,Frutilla,90,1.81,2024-06-27
55,Uvilla,67,8.9,2026-02-16
56,Frutilla,100,13.83,2025-01-07
57,Manzana,99,6.36,2026-05-24
58,Manzana,89,5.69,2024-08-26
59,Naranja,90,10.05,2025-12-28
60,Mango,22,14.32,2025-06-01
61,Banano,99,2.09,2026-02-19
62,Melón,15,1.87,2026-01-03
63,Uva,59,5.44,2025-12-29
64,Naranja,59,10.54,2025-05-07
65,Frutilla,75,11.35,2025-11-17
66,Piña,63,12.2,2026-01-01
67,Pera,88,0.83,2024-07-18
68,Banano,9,0.73,2025-06-25
69,Melón,14,0.86,2024-12-25
70,Piña,71,0.9,2024-09-13
71,Melón,25,12.17,2024-12-09
72,Uvilla,51,12.63,2025-02-07
73,Naranja,29,9.88,2025-12-19
74,Uva,76,2.24,2025-04-30
75,Mango,45,13.82,2025-12-12
76,Manzana,77,0.84,2024-11-28
77,Manzana,93,13.5,2025-07-07
78,Frutilla,22,7.27,2025-11-14
79,Naranja,57,4.94,2024-12-07
80,Frutilla,67,5.62,2025-10-09
81,Frutilla,55,10.56,2025-02-19
82,Uvilla,29,11.65,2025-11-06
83,Manzana,96,5.78,2025-07-04
84,Frutilla,23,1.92,2025-05-10
85,Uvilla,10,7.79,2025-04-08
86,Melón,90,5.68,2024-06-28
87,Frutilla,95,13.82,2025-08-21
88,Uva,19,12.85,2024-11-25
89,Uvilla,6,5.46,2025-01-21
90,Manzana,95,10.56,2025-04-03
91,Uvilla,42,2.99,2024-09-24
92,Frutilla,98,7.49,2026-03-31
93,Banano,20,8.39,2024-09-19
94,Banano,24,3.81,2026-05-14
95,Piña,81,8.44,2024-10-22
96,Uvilla,16,9.28,2024-10-23
97,Uva,31,12.28,2026-05-11
98,Manzana,91,2.94,2026-05-26
